beach_name,date,culture_sample_1_timestamp,culture_sample_1_reading,culture_sample_2_timestamp,culture_sample_2_reading,culture_reading_mean,culture_sample_interval,culture_note,dna_sample_timestamp,dna_sample_1_reading,dna_sample_2_reading,dna_reading_mean,dna_test_id,latitude,longitude,year
Rainbow,2016-07-31,,,,,,,,2016-07-31 12:18:00,111.0,308.0,184.9,1571,41.758,-87.551,2016
Ohio Street,2017-05-26,,,,,,,,2017-05-26 12:30:00,25.0,592.0,121.7,2290,41.8935,-87.6152,2017
63rd Street,2016-07-24,,,,,,,,2016-07-24 12:29:00,60.0,99.0,77.1,1409,41.7827,-87.5748,2016
57th Street,2017-05-26,,,,,,,,2017-05-26 12:27:00,15.0,11.0,12.8,2288,41.7911,-87.5797,2017
Rainbow,2016-06-05,,,,,,,,2016-06-05 12:46:00,82.0,15.0,35.1,611,41.758,-87.551,2016
63rd Street,2016-07-02,,,,,,,,2016-07-02 13:06:00,48.0,45.0,46.5,1072,41.7827,-87.5748,2016
South Shore,2016-07-23,,,,,,,,2016-07-23 12:25:00,59.0,5.0,17.2,1404,41.7689,-87.5636,2016
12th Street,2016-06-12,,,,,,,,2016-06-12 12:54:00,334.0,1934.0,803.7,672,41.8638,-87.6083,2016
Rainbow,2016-08-28,,,,,,,,2016-08-28 12:28:00,22.0,10.0,14.8,2147,41.758,-87.551,2016
Osterman,2016-07-24,,,,,,,,2016-07-24 15:47:00,30.0,42.0,35.5,1432,41.9877,-87.6545,2016
12th Street,2017-05-31,,,,,,,,2017-05-31 00:00:00,37.0,26.0,31.0,2415,41.8638,-87.6083,2017
Oak Street,2017-05-31,,,,,,,,2017-05-31 00:00:00,39.0,40.0,39.5,2416,41.9032,-87.6235,2017
63rd Street,2016-08-14,,,,,,,,2016-08-14 13:09:00,117.0,141.0,128.4,1828,41.7827,-87.5748,2016
57th Street,2017-05-31,,,,,,,,2017-05-31 00:00:00,20.0,169.0,58.1,2389,41.7911,-87.5797,2017
12th Street,2017-05-29,,,,,,,,2017-05-29 12:17:00,52.0,78.0,63.7,2357,41.8638,-87.6083,2017
Montrose,2016-07-03,,,,,,,,2016-07-03 12:17:00,484.0,858.0,644.4,1031,41.9655,-87.6385,2016
Rainbow,2016-07-23,,,,,,,,2016-07-23 12:24:00,11.0,2014.0,148.8,1423,41.758,-87.551,2016
South Shore,2016-06-11,,,,,,,,2016-06-11 13:19:00,202.0,51.0,101.5,705,41.7689,-87.5636,2016
Calumet,2016-07-23,,,,,,,,2016-07-23 12:23:00,32.0,9.0,17.0,1401,41.7142,-87.5299,2016
12th Street,2016-09-03,,,,,,,,2016-09-03 12:52:00,71.0,10.0,26.6,2249,41.8638,-87.6083,2016
63rd Street,2017-05-31,,,,,,,,2017-05-31 00:00:00,234.0,206.0,219.6,2414,41.7827,-87.5748,2017
12th Street,2016-07-02,,,,,,,,2016-07-02 13:06:00,132.0,33.0,66.0,1073,41.8638,-87.6083,2016
Ohio Street,2016-08-28,,,,,,,,2016-08-28 12:28:00,23.0,64.0,38.4,2095,41.8935,-87.6152,2016
Howard,2017-05-29,,,,,,,,2017-05-29 12:17:00,54.0,37.0,44.7,2365,42.0188,-87.6663,2017
Calumet,2016-08-14,,,,,,,,2016-08-14 13:07:00,791.0,914.0,850.3,1825,41.7142,-87.5299,2016
Montrose,2016-09-04,,,,,,,,2016-09-04 12:34:00,39.0,162.0,79.5,2267,41.9655,-87.6385,2016
Calumet,2016-06-05,,,,,,,,2016-06-05 12:44:00,43.0,17.0,27.0,590,41.7142,-87.5299,2016
Marion Mahony Griffin (Jarvis),2017-05-26,,,,,,,,2017-05-26 12:33:00,13.0,16.0,14.4,2296,42.0161,-87.6647,2017
Humboldt,2017-05-30,,,,,,,,2017-05-30 00:00:00,4840.0,4306.0,4565.2,2371,41.90643,-87.703717,2017
Rogers,2017-05-28,,,,,,,,2017-05-28 00:00:00,63.0,38.0,48.9,2335,42.0213,-87.6666,2017
Howard,2017-05-27,,,,,,,,2017-05-27 00:00:00,11.0,,11.0,2319,42.0188,-87.6663,2017
Marion Mahony Griffin (Jarvis),2017-05-27,,,,,,,,2017-05-27 00:00:00,35.0,102.0,59.7,2318,42.0161,-87.6647,2017
Oak Street,2016-07-24,,,,,,,,2016-07-24 15:46:00,183.0,354.0,254.5,1431,41.9032,-87.6235,2016
Calumet,2016-07-16,,,,,,,,2016-07-16 12:19:00,76.0,42.0,56.5,1230,41.7142,-87.5299,2016
12th Street,2016-07-03,,,,,,,,2016-07-03 12:19:00,21.0,13.0,16.5,1034,41.8638,-87.6083,2016
North Avenue,2016-08-14,,,,,,,,2016-08-14 13:08:00,111.0,16.0,42.1,1846,41.9148,-87.6273,2016
12th Street,2016-08-25,,,,,,,,2016-08-25 13:02:00,178.0,291.0,227.6,2089,41.8638,-87.6083,2016
South Shore,2016-07-30,,,,,,,,2016-07-30 13:01:00,161.0,254.0,202.2,1548,41.7689,-87.5636,2016
Marion Mahony Griffin (Jarvis),2017-05-30,,,,,,,,2017-05-30 00:00:00,37.0,12.0,21.1,2411,42.0161,-87.6647,2017
Calumet,2016-06-19,,,,,,,,2016-06-19 12:28:00,30.0,20.0,24.5,846,41.7142,-87.5299,2016
South Shore,2016-07-24,,,,,,,,2016-07-24 12:29:00,19.0,66.0,35.4,1428,41.7689,-87.5636,2016
57th Street,2017-05-30,,,,,,,,2017-05-30 00:00:00,85.0,47.0,63.2,2368,41.7911,-87.5797,2017
Rainbow,2016-06-19,,,,,,,,2016-06-19 12:29:00,15.0,18.0,16.4,863,41.758,-87.551,2016
Montrose,2016-07-23,,,,,,,,2016-07-23 12:24:00,115.0,93.0,103.4,1402,41.9655,-87.6385,2016
Howard,2016-07-24,,,,,,,,2016-07-24 15:48:00,11.0,201.0,47.0,1434,42.0188,-87.6663,2016
South Shore,2016-08-25,,,,,,,,2016-08-25 13:03:00,9.0,18.0,12.7,2056,41.7689,-87.5636,2016
Rainbow,2016-08-06,,,,,,,,2016-08-06 12:41:00,93.0,52.0,69.5,1625,41.758,-87.551,2016
Rainbow,2017-05-27,,,,,,,,2017-05-27 00:00:00,86.0,63.0,73.6,2299,41.758,-87.551,2017
South Shore,2016-08-21,,,,,,,,2016-08-21 12:45:00,16.0,83.0,36.4,1993,41.7689,-87.5636,2016
Montrose,2016-08-25,,,,,,,,2016-08-25 13:00:00,94.0,100.0,97.0,2086,41.9655,-87.6385,2016
Ohio Street,2016-06-19,,,,,,,,2016-06-19 12:29:00,82.0,45.0,60.7,848,41.8935,-87.6152,2016
Montrose,2016-09-03,,,,,,,,2016-09-03 12:50:00,575.0,1299.0,864.2,2246,41.9655,-87.6385,2016
Ohio Street,2016-07-09,,,,,,,,2016-07-09 13:02:00,194.0,68.0,114.9,1165,41.8935,-87.6152,2016
Ohio Street,2016-06-05,,,,,,,,2016-06-05 12:45:00,147.0,142.0,144.5,592,41.8935,-87.6152,2016
North Avenue,2016-07-30,,,,,,,,2016-07-30 13:00:00,74.0,180.0,115.4,1566,41.9148,-87.6273,2016
North Avenue,2016-08-06,,,,,,,,2016-08-06 12:41:00,28.0,6.0,13.0,1523,41.9148,-87.6273,2016
Oakwood,2017-05-30,,,,,,,,2017-05-30 00:00:00,50.0,8.0,20.0,2405,41.8211,-87.5976,2017
Rainbow,2016-09-03,,,,,,,,2016-09-03 12:52:00,8.0,67.0,23.2,2227,41.758,-87.551,2016
South Shore,2016-07-03,,,,,,,,2016-07-03 12:18:00,142.0,358.0,225.5,1033,41.7689,-87.5636,2016
Montrose,2016-06-19,,,,,,,,2016-06-19 12:29:00,74.0,42.0,55.7,847,41.9655,-87.6385,2016
North Avenue,2017-05-28,,,,,,,,2017-05-28 00:00:00,371.0,62.0,151.7,2331,41.9148,-87.6273,2017
North Avenue,2016-08-20,,,,,,,,2016-08-20 12:38:00,4.0,14.0,7.5,1987,41.9148,-87.6273,2016
Ohio Street,2017-05-29,,,,,,,,2017-05-29 12:17:00,235.0,183.0,207.4,2340,41.8935,-87.6152,2017
Ohio Street,2016-08-14,,,,,,,,2016-08-14 13:08:00,76.0,164.0,111.6,1827,41.8935,-87.6152,2016
Montrose,2017-05-26,,,,,,,,2017-05-26 12:31:00,19.0,107.0,45.1,2293,41.9655,-87.6385,2017
South Shore,2017-05-26,,,,,,,,2017-05-26 12:26:00,51.0,4.0,14.3,2306,41.7689,-87.5636,2017
63rd Street,2016-07-17,,,,,,,,2016-07-17 14:28:00,8.0,70.0,23.7,1238,41.7827,-87.5748,2016
Montrose,2016-08-21,,,,,,,,2016-08-21 12:44:00,46.0,31.0,37.8,1991,41.9655,-87.6385,2016
North Avenue,2016-09-03,,,,,,,,2016-09-03 12:51:00,55.0,55.0,55.0,2226,41.9148,-87.6273,2016
Montrose,2016-06-05,,,,,,,,2016-06-05 12:45:00,1081.0,579.0,791.1,591,41.9655,-87.6385,2016
Rainbow,2017-05-26,,,,,,,,2017-05-26 12:25:00,298.0,423.0,355.0,2305,41.758,-87.551,2017
63rd Street,2016-07-23,,,,,,,,2016-07-23 12:25:00,60.0,114.0,82.7,1424,41.7827,-87.5748,2016
Humboldt,2017-05-29,,,,,,,,2017-05-29 12:17:00,5660.0,5680.0,5670.0,2341,41.90643,-87.703717,2017
Ohio Street,2016-09-03,,,,,,,,2016-09-03 12:51:00,167.0,62.0,101.8,2247,41.8935,-87.6152,2016
South Shore,2016-08-14,,,,,,,,2016-08-14 13:08:00,139.0,42.0,76.4,1848,41.7689,-87.5636,2016
North Avenue,2016-06-12,,,,,,,,2016-06-12 12:52:00,48.0,1050.0,224.5,649,41.9148,-87.6273,2016
Foster,2017-05-28,,,,,,,,2017-05-28 00:00:00,9.0,203.0,42.7,2332,41.9785,-87.6515,2017
Calumet,2016-08-25,,,,,,,,2016-08-25 13:00:00,34.0,32.0,33.0,2085,41.7142,-87.5299,2016
63rd Street,2016-06-12,,,,,,,,2016-06-12 12:53:00,10223.0,1186.0,3482.0,651,41.7827,-87.5748,2016
12th Street,2016-06-05,,,,,,,,2016-06-05 00:00:00,10.0,27.0,16.4,594,41.8638,-87.6083,2016
Rogers,2016-07-24,,,,,,,,2016-07-24 15:48:00,32.0,15.0,21.9,1414,42.0213,-87.6666,2016
Hartigan (Albion),2017-05-30,,,,,,,,2017-05-30 00:00:00,9.0,11.0,9.9,2410,42.0027,-87.6564,2017
North Avenue,2016-09-04,,,,,,,,2016-09-04 12:34:00,16.0,27.0,20.8,2268,41.9148,-87.6273,2016
South Shore,2016-07-02,,,,,,,,2016-07-02 13:05:00,43.0,38.0,40.4,1071,41.7689,-87.5636,2016
63rd Street,2016-07-10,,,,,,,,2016-07-10 13:20:00,33.0,101.0,57.7,1174,41.7827,-87.5748,2016
Ohio Street,2016-08-20,,,,,,,,2016-08-20 12:38:00,21.0,16.0,18.3,2007,41.8935,-87.6152,2016
Montrose,2016-07-24,,,,,,,,2016-07-24 15:45:00,923.0,150.0,372.1,1430,41.9655,-87.6385,2016
Osterman,2017-05-30,,,,,,,,2017-05-30 00:00:00,4.0,4.0,4.0,2373,41.9877,-87.6545,2017
Ohio Street,2017-05-28,,,,,,,,2017-05-28 00:00:00,24.0,307.0,85.8,2348,41.8935,-87.6152,2017
12th Street,2016-07-09,,,,,,,,2016-07-09 13:03:00,18.0,69.0,35.2,1169,41.8638,-87.6083,2016
Calumet,2017-05-31,,,,,,,,2017-05-31 00:00:00,7.0,15.0,10.2,2387,41.7142,-87.5299,2017
12th Street,2016-07-30,,,,,,,,2016-07-30 13:02:00,6441.0,5575.0,5992.4,1549,41.8638,-87.6083,2016
Calumet,2016-06-11,,,,,,,,2016-06-11 13:17:00,45.0,85.0,61.8,643,41.7142,-87.5299,2016
Rogers,2017-05-31,,,,,,,,2017-05-31 00:00:00,8.0,11.0,9.4,2421,42.0213,-87.6666,2017
Ohio Street,2016-07-30,,,,,,,,2016-07-30 13:00:00,3.0,41.0,11.1,1547,41.8935,-87.6152,2016
South Shore,2016-06-26,,,,,,,,2016-06-26 12:38:00,22.0,103.0,47.6,973,41.7689,-87.5636,2016
63rd Street,2016-08-21,,,,,,,,2016-08-21 00:46:00,56.0,76.0,65.2,2028,41.7827,-87.5748,2016
Howard,2017-05-31,,,,,,,,2017-05-31 00:00:00,15.0,11.0,12.8,2427,42.0188,-87.6663,2017
South Shore,2016-07-16,,,,,,,,2016-07-16 12:21:00,168.0,255.0,207.0,1233,41.7689,-87.5636,2016
Rainbow,2017-05-30,,,,,,,,2017-05-30 00:00:00,42.0,292.0,110.7,2385,41.758,-87.551,2017
Foster,2017-05-30,,,,,,,,2017-05-30 00:00:00,64.0,12.0,27.7,2409,41.9785,-87.6515,2017
North Avenue,2016-06-26,,,,,,,,2016-06-26 12:37:00,27.0,64.0,41.6,982,41.9148,-87.6273,2016
Hartigan (Albion),2017-05-26,,,,,,,,2017-05-26 12:32:00,47.0,13.0,24.7,2309,42.0027,-87.6564,2017
Calumet,2016-06-26,,,,,,,,2016-06-26 12:37:00,83.0,101.0,91.6,970,41.7142,-87.5299,2016
North Avenue,2016-06-25,,,,,,,,2016-06-25 12:42:00,16.0,16.0,16.0,964,41.9148,-87.6273,2016
12th Street,2016-08-07,,,,,,,,2016-08-07 12:59:00,27.0,31.0,28.9,1649,41.8638,-87.6083,2016
South Shore,2016-07-09,,,,,,,,2016-07-09 13:03:00,534.0,173.0,303.9,1167,41.7689,-87.5636,2016
