DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,Margaret T Burroughs,,,,88688,08/06/2010 12:00:00 AM,1553.1,2419.6,1938.5,,,,,,
,,Hartigan,,,,102590,06/08/2009 12:00:00 AM,8.4,12.2,10.1,,,,,,
,,Columbia,,,,98945,07/30/2007 12:00:00 AM,24.3,29.2,26.6,,,,,,
,,Marion Mahony Griffin,,,,91063,07/17/2009 12:00:00 AM,9.7,9.6,9.6,,,,,,
,,Hartigan,,,,109471,08/23/2013 12:00:00 AM,53.0,64.0,58.2,,,,,,
,,Columbia,,,,98497,06/21/2007 12:00:00 AM,1.0,1.0,1.0,,,,,,
,,Marion Mahony Griffin,,,,92723,08/08/2014 12:00:00 AM,23.0,43.0,31.4,,,,,,
,,Margaret T Burroughs,,,,95856,07/30/2015 12:00:00 AM,54.0,42.0,47.6,,,,,,
,,Margaret T Burroughs,,,,87761,06/29/2010 12:00:00 AM,629.4,1203.3,870.3,,,,,,
,,Margaret T Burroughs,,,,90292,06/29/2011 12:00:00 AM,124.6,114.5,119.4,,,,,,
,,Hartigan,,,,87689,06/25/2010 12:00:00 AM,8.5,8.4,8.4,,,,,,
,,Margaret T Burroughs,,,,111406,06/07/2012 12:00:00 AM,248.1,45.7,106.5,,,,,,
,,Marion Mahony Griffin,,,,107467,07/23/2012 12:00:00 AM,6.3,4.1,5.1,,,,,,
,,Hartigan,,,,112725,06/02/2016 10:30:00 AM,1.0,1.0,1.0,,1,06/02/2016 10:31:00 AM,,,
,,Marion Mahony Griffin,,,,98379,08/18/2006 12:00:00 AM,1.0,1.0,1.0,,,,,,
,,Marion Mahony Griffin,,,,95694,08/28/2015 12:00:00 AM,3.0,4.0,3.5,,,,,,
,,NA,,,,108593,07/05/2012 12:00:00 AM,2.0,2.0,2.0,,,,,,
,,Margaret T Burroughs,,,,106181,07/27/2013 12:00:00 AM,276.0,517.0,377.7,,,,,,
,,Margaret T Burroughs,,,,93638,08/29/2014 12:00:00 AM,18.0,17.0,17.5,,,,,,
,,Margaret T Burroughs,,,,109655,06/30/2014 12:00:00 AM,3.0,16.0,6.9,,,,,,
,,Hartigan,,,,113394,07/18/2016 09:55:00 AM,2.0,1.0,1.4,,1,07/18/2016 09:56:00 AM,,,
,,Columbia,,,,104316,07/31/2006 12:00:00 AM,248.1,78.0,139.1,,,,,,
,,Margaret T Burroughs,,,,99445,07/18/2007 12:00:00 AM,68.2,26.9,42.8,,,,,,
,,Hartigan,,,,100486,07/21/2008 12:00:00 AM,27.2,12.1,18.1,,,,,,
,,Marion Mahony Griffin,,,,103199,05/31/2006 12:00:00 AM,34.5,7.5,16.1,,,,,,
,,Hartigan,,,,101310,08/22/2007 12:00:00 AM,36.4,37.3,36.8,,,,,,
